query,question,iter,flag,hardness
SELECT COUNT(DISTINCT name) FROM mountain WHERE Height > 1000 OR Prominence > 500 OR EXISTS ( SELECT mountain_id FROM photos WHERE mountain_id = mountain.id AND color = 'black' ) ORDER BY id DESC,"How many unique mountain names are there, with either a height above 1000, a prominence above 500, or having a black photo, listed in descending order of mountain id?",6,False,extra
"SELECT T1.name, COUNT(DISTINCT T2.name) FROM mountain AS T1 JOIN mountain AS T2 ON T1.Height > T2.Height",What is the name of each mountain and how many mountains are shorter than it?,2,True,medium
SELECT MIN(T1.Height) FROM mountain AS T1 WHERE T1.Country = 'USA' LIMIT 10,What are the next ten lowest heights of mountains in the USA?,2,True,medium
"SELECT T1.name, T2.name FROM mountain AS T1 JOIN photos AS T2 ON T1.id = T2.mountain_id JOIN camera_lens AS T3 ON T2.camera_lens_id = T3.id WHERE T1.Range NOT IN (SELECT Range FROM mountain AS T4 JOIN photos AS T5 ON T4.id = T5.mountain_id WHERE T5.color = 'BW')",What are the names of mountains and their corresponding photos not taken in black and white?,6,False,extra
"SELECT T1.name, T2.name, T3.name FROM mountain AS T1 JOIN photos AS T2 ON T1.id = T2.mountain_id JOIN camera_lens AS T3 ON T2.camera_lens_id = T3.id WHERE T1.Range = 'Alps' OR T2.color = 'black and white' OR T3.focal_length_mm BETWEEN 50 AND 100 ORDER BY T3.focal_length_mm LIMIT 10","What are the names of mountains in the Alps, or photos in black and white, or taken with camera lenses with focal lengths between 50 and 100 mm, listed by focal length starting from the 11th result?",6,False,extra
SELECT T1.name FROM mountain AS T1 JOIN photos AS T2 ON T1.id = T2.mountain_id JOIN camera_lens AS T3 ON T3.id = T2.camera_lens_id WHERE T1.Height > 2000 AND T2.color = 'red' AND NOT EXISTS (SELECT 1 FROM photos AS T4 WHERE T4.mountain_id = T1.id AND T4.color = 'black'),"What are the names of the mountains with a height over 2000, that have a red photo taken with a camera lens and do not have any black photos?",4,True,extra
SELECT name FROM mountain WHERE Height < 3500 OR Height BETWEEN 4000 AND 5000 OR Range = 'Alps' ORDER BY Height ASC,"What are the names of the mountains with a height of either less than 3500, between 4000 and 5000, or in the 'Alps' range, listed in ascending order of height?",2,True,extra
"SELECT T1.name, MIN(T1.Height) FROM mountain AS T1 JOIN mountain AS T2 ON T1.Range = T2.Range GROUP BY T1.name ORDER BY MIN(T1.Height) ASC LIMIT 10","What are the names of the 11th to 20th shortest mountains, grouped by range?",6,False,extra
"SELECT T1.name, T2.name FROM mountain AS T1 JOIN photos AS T2 ON T1.id = T2.mountain_id WHERE T1.Height < ( SELECT AVG(Height) FROM mountain )",What are the names of the mountains and their corresponding photos where the height of the mountain is less than the average height of all mountains?,2,True,extra
SELECT Height FROM mountain WHERE Height BETWEEN (SELECT MIN(Height) FROM mountain) AND (SELECT MAX(Height) FROM mountain),What are the heights of mountains with heights that fall within the full range of mountain heights?,3,True,extra
SELECT name FROM mountain WHERE id NOT IN (SELECT mountain_id FROM photos WHERE name = 'landscape' AND color = 'black and white') ORDER BY Height DESC,"What are the names of the mountains that do not have a black and white landscape photo, listed in descending order of height?",5,True,extra
SELECT COUNT(DISTINCT name) FROM mountain WHERE Height BETWEEN 2000 AND 3000 ORDER BY name ASC LIMIT 10,"What are the names of the 11th to 20th distinct mountains, with heights between 2000 and 3000 meters, in ascending order of their names?",6,False,hard
SELECT * FROM mountain WHERE Height < 1000 ORDER BY Height ASC LIMIT 10,What are the names of the 11th to 20th shortest mountains?,6,False,hard
SELECT T1.Range FROM mountain AS T1 WHERE T1.Country = 'USA' AND T1.Height < 5000 AND T1.name = 'Mount Everest',"What mountain range is Mount Everest located in, given that it is in the USA and less than 5000 meters tall?",2,True,medium
SELECT Height FROM mountain WHERE Height = 2000 LIMIT 10,What are the heights of the 11th to 20th mountains that are exactly 2000 meters tall?,6,False,medium
SELECT T1.Range FROM mountain AS T1 WHERE T1.Height < 2000,What mountain ranges have peaks with a height of less than 2000 meters?,2,True,easy
"SELECT COUNT(DISTINCT name), MAX(Height) FROM mountain ORDER BY Height ASC",What is the number of distinct mountain names and the maximum height of mountains listed in order from shortest to tallest?,2,True,medium
"SELECT COUNT(*) FROM (SELECT T1.name, T1.Height FROM mountain AS T1 WHERE T1.Range = 'Alps' AND T1.Height BETWEEN 1000 AND 3000 AND T1.Prominence > 500) ORDER BY Height DESC LIMIT 5","How many mountain names in the Alps range, with height between 1000 and 3000 and prominence more than 500 exist, excluding the top 5 highest peaks?",4,True,medium
"SELECT name AS foo, SUM(Height) FROM mountain GROUP BY name HAVING SUM(Height) > 1000",What are the names of mountains with a total height greater than 1000?,6,False,medium
