query,question,iter,flag,hardness
SELECT T1.song_name FROM song AS T1 WHERE T1.rating BETWEEN 1 AND 10 OR T1.rating = 5 OR EXISTS (SELECT T2.artist_name FROM artist AS T2 WHERE T2.artist_name = T1.artist_name) LIMIT 10,"What are the song names with ratings between 1 and 10, or a rating of exactly 5, or by artists that exist in the artist table, skipping the first 10 results?",4,True,extra
SELECT T2.artist_name FROM genre AS T1 JOIN artist AS T2 ON T1.g_name = T2.preferred_genre WHERE T2.artist_name IN (SELECT artist_name FROM files) ORDER BY T2.artist_name ASC,What are the names of artists who have files and are sorted alphabetically?,6,False,extra
SELECT T1.g_name FROM genre AS T1 WHERE T1.rating = 'PG-13' OR T1.most_popular_in BETWEEN '1980-01-01' AND '1989-12-31' OR T1.most_popular_in = '1985-01-01',"What are the names of genres with a rating of 'PG-13', or most popular between 1980 and 1989, or specifically in 1985?",6,False,hard
SELECT COUNT(f_id) FROM song WHERE rating = 3 OR rating = 4 OR f_id NOT IN (SELECT f_id FROM files WHERE file_size = 'small') GROUP BY rating HAVING COUNT(f_id) > 1 ORDER BY rating DESC LIMIT 1,"What is the rating with the second highest number of songs that are rated 3 or 4 and do not have a small file size, with the count of songs greater than 1?",6,False,extra
SELECT song_name FROM song AS T1 ORDER BY rating DESC LIMIT 1,What is the second highest rated song name?,5,True,medium
SELECT COUNT(DISTINCT T1.g_name) FROM genre AS T1 WHERE EXISTS (SELECT 1 FROM song AS T2 WHERE T2.genre_is = T1.g_name AND T2.rating > 4) LIMIT 10,What are the names of the 11th to 20th genres that have at least one song with a rating greater than 4?,6,False,extra
"SELECT COUNT(rating), COUNT(rating) FROM genre WHERE rating = 'PG' OR rating = 'G' OR rating BETWEEN 'PG-13' AND 'NC-17'","How many distinct and total movie ratings are there for movies rated G, PG, PG-13, or NC-17 in the genre table?",6,False,extra
SELECT * FROM song WHERE rating < 10 LIMIT 5,What are the details of the next 5 songs with a rating less than 10?,4,True,medium
"SELECT T1.artist_name, T2.f_id FROM artist AS T1 JOIN files AS T2 ON T1.artist_name = T2.artist_name JOIN song AS T3 ON T3.f_id = T2.f_id WHERE T1.country = 'USA' OR T3.rating BETWEEN 4 AND 5 OR T1.gender = 'Male'","What are the artist names and song ids of artists from the USA, or artists with a song rated between 4 and 5, or male artists?",3,True,extra
SELECT artist_name FROM artist ORDER BY artist_name ASC,List all artist names in alphabetical order.,2,True,easy
"SELECT T1.artist_name, COUNT(T2.f_id), COUNT(DISTINCT T3.song_name) FROM artist AS T1 JOIN files AS T2 ON T1.artist_name = T2.artist_name JOIN song AS T3 ON T2.artist_name = T3.artist_name GROUP BY T1.artist_name HAVING COUNT(T3.song_name) > 10 ORDER BY COUNT(T3.song_name) ASC","What are the artist names along with the number of files and distinct songs they have, for artists with more than 10 songs, listed in ascending order by the number of songs?",6,False,extra
"SELECT AVG(T2.rating), COUNT(T2.rating), SUM(T1.file_size) FROM files AS T1 JOIN genre AS T2 ON T2.g_name = T1.artist_name WHERE T2.rating BETWEEN 1 AND 5","What is the average and total count of ratings, and total file size of songs by artists with ratings between 1 and 5?",6,False,extra
SELECT MAX(T1.rating) FROM genre AS T1 WHERE T1.rating > 4 AND T1.most_popular_in BETWEEN 'Country1' AND 'Country3' AND T1.g_name = 'Genre1' ORDER BY T1.rating DESC LIMIT 10,What are the 11th to 20th highest ratings of songs in the 'Genre1' genre that are most popular in a country between 'Country1' and 'Country3' and have a rating above 4?,6,False,hard
SELECT T1.g_name FROM genre AS T1 WHERE T1.rating = 'PG' AND T1.most_popular_in = 'USA' AND T1.g_name NOT IN (SELECT T2.preferred_genre FROM artist AS T2) ORDER BY T1.rating DESC,"What are the names of genres in the USA with a PG rating that are not preferred by any artist, listed in descending order of rating?",2,True,extra
"SELECT COUNT(DISTINCT T2.artist_name), T1.g_name FROM genre AS T1 JOIN song AS T2 ON T1.g_name = T2.genre_is JOIN artist AS T3 ON T2.artist_name = T3.artist_name WHERE T1.rating > 'Poor' ORDER BY COUNT(DISTINCT T2.artist_name) ASC","What is the number of unique artists in each genre with a rating higher than 'Poor', listed in ascending order by the number of unique artists?",2,True,extra
"SELECT T1.g_name, AVG(T1.rating) FROM genre AS T1 JOIN song AS T2 ON T1.g_name = T2.genre_is WHERE T2.rating BETWEEN 1 AND 5 OR T2.releasedate > '2020-01-01' OR EXISTS (SELECT 1 FROM artist AS T3 WHERE T3.country = 'USA' AND T3.artist_name = T2.artist_name) GROUP BY T1.g_name ORDER BY T1.g_name ASC","What is the average rating of songs in each genre, for genres with songs rated between 1 and 5, or released after '2020-01-01', or by artists from the USA, sorted by genre name?",6,False,extra
"SELECT T1.g_name, COUNT(T2.song_name) FROM genre AS T1 JOIN song AS T2 ON T1.g_name = T2.genre_is WHERE T1.rating <= 5 GROUP BY T1.g_name",What are the genres with a rating of 5 or less and how many songs are in each of these genres?,3,True,hard
"SELECT T1.artist_name, T2.song_name FROM files AS T1 INNER JOIN song AS T2 ON T1.artist_name = T2.artist_name LIMIT 10",What are the names of artists and corresponding song names for rows 11 to 20 in the combined list of files and songs?,6,False,medium
"SELECT COUNT(DISTINCT T1.g_name), COUNT(DISTINCT T2.artist_name) FROM genre AS T1 JOIN artist AS T2 ON T1.g_name = T2.preferred_genre WHERE T2.gender = 'Male'",How many unique genres and male artists are there?,6,False,extra
SELECT song_name FROM song WHERE rating BETWEEN 1 AND 5 OR rating NOT IN ( SELECT rating FROM genre WHERE g_name = 'Pop' ),"What are the song names with a rating between 1 and 5, or songs that are not classified as Pop?",6,False,extra
SELECT COUNT(DISTINCT T1.artist_name) AS count FROM song AS T1 JOIN artist AS T2 ON T1.artist_name = T2.artist_name WHERE T1.rating > 4 AND T1.releasedate BETWEEN '2020-01-01' AND '2020-12-31' AND T2.country = 'USA',How many unique artists from the USA released songs with a rating higher than 4 in the year 2020?,4,True,medium
"SELECT T3.song_name, T2.artist_name, T1.g_name FROM genre AS T1 JOIN song AS T3 ON T1.g_name = T3.genre_is JOIN artist AS T2 ON T2.preferred_genre = T1.g_name WHERE T2.gender != 'Male' ORDER BY T2.artist_name ASC","What are the song names, artist names, and genres of songs by female artists, sorted by artist name in ascending order?",6,False,extra
"SELECT COUNT(DISTINCT T1.g_name), COUNT(DISTINCT T1.rating) FROM genre AS T1 WHERE T1.g_name NOT IN (SELECT T2.preferred_genre FROM artist AS T2)",How many distinct genres and ratings are there for genres that are not preferred by any artist?,3,True,extra
