sql,hardness
SELECT T1.product_id FROM product AS T1 JOIN store_product AS T2 ON T1.product_id = T2.Product_ID WHERE T2.Store_ID IN (SELECT T3.Store_ID FROM store AS T3 WHERE T3.Store_Name = 'store_name') LIMIT 10,extra
SELECT Store_Name FROM store WHERE Area_size > 10 LIMIT 5,medium
"SELECT product, AVG(dpi) AS AverageDpi FROM product WHERE product_id > 10 GROUP BY product",extra
SELECT product FROM product WHERE pages_per_minute_color BETWEEN 20 AND 50,easy
SELECT T1.product FROM product AS T1 JOIN store_product AS T2 ON T1.product_id = T2.Product_ID WHERE EXISTS (SELECT 1 FROM store AS T3 WHERE T3.Store_ID = T2.Store_ID AND T3.Ranking > 10) ORDER BY T1.product ASC LIMIT 10,extra
SELECT * FROM product WHERE dpi BETWEEN 1 AND 100 OR pages_per_minute_color > 50 LIMIT 10,hard
"SELECT COUNT(DISTINCT product), product FROM product WHERE dpi BETWEEN 300 AND 600 LIMIT 10",medium
SELECT COUNT(DISTINCT T1.dpi) FROM product AS T1 WHERE T1.dpi BETWEEN 100 AND 500 AND T1.pages_per_minute_color > ( SELECT AVG(pages_per_minute_color) FROM product ) LIMIT 1,extra
SELECT product FROM product WHERE product_id IN (SELECT Product_ID FROM store_product WHERE Store_ID IN (SELECT Store_ID FROM store_district WHERE District_ID = 1)),hard
"SELECT MIN(dpi) , MAX(pages_per_minute_color) FROM product AS product_table ORDER BY dpi ASC",medium
SELECT product FROM product WHERE dpi < 1000 ORDER BY product_id ASC LIMIT 10,hard
SELECT COUNT(product_id) FROM product AS T1 WHERE dpi > 200 AND product_id NOT IN (SELECT Product_ID FROM store_product),extra
SELECT T1.product FROM product AS T1 JOIN store_product AS T2 ON T1.product_id = T2.Product_ID WHERE EXISTS (SELECT 1 FROM store AS T3 JOIN store_district AS T4 ON T3.Store_ID = T4.Store_ID WHERE T3.Store_ID = T2.Store_ID AND T3.Store_Name = 'Store 1') LIMIT 10,extra
SELECT product FROM product WHERE dpi = 300,easy
"SELECT product, COUNT(product_id) FROM product WHERE pages_per_minute_color BETWEEN 1 AND 10 GROUP BY product ORDER BY product ASC",hard
SELECT T1.product FROM product AS T1 WHERE T1.product_id IN (SELECT T2.Product_ID FROM store_product AS T2 WHERE T2.Store_ID = (SELECT T3.Store_ID FROM store AS T3 WHERE T3.Store_Name = 'store_name')),hard
SELECT dpi FROM product WHERE dpi BETWEEN 100 AND 500 AND pages_per_minute_color > 10 ORDER BY dpi ASC,medium
SELECT T1.Store_Name FROM store AS T1 JOIN store_product AS T2 ON T1.Store_ID = T2.Store_ID WHERE T2.Product_ID IN (SELECT product_id FROM product WHERE dpi > 400),extra
SELECT product FROM product WHERE product_id < (SELECT COUNT(product_id) FROM product),hard
"SELECT MIN(pages_per_minute_color) , MAX(dpi) FROM product WHERE product_id != 1 LIMIT 10",extra
SELECT Store_Name FROM store WHERE Type = 'A' AND Area_size BETWEEN 100 AND 200 AND Store_ID NOT IN (SELECT Store_ID FROM store_product),extra
SELECT product FROM product WHERE dpi <= 200,easy
SELECT product FROM product WHERE product = 'Printer' AND dimensions = '17 x 14 x 8' AND dpi = 600,medium
