sql,hardness
"SELECT company_type, COUNT(DISTINCT s.company_id) FROM Third_Party_Companies JOIN Third_Party_Companies AS s ON Third_Party_Companies.company_id = s.company_id WHERE s.company_id < 33 GROUP BY company_type LIMIT 4",extra
"SELECT first_name, last_name FROM Third_Party_Companies JOIN Maintenance_Engineers ON Third_Party_Companies.company_id = Maintenance_Engineers.company_id WHERE Third_Party_Companies.company_id >= 58 LIMIT 7",hard
"SELECT AVG(h.asset_id), COUNT(h.maintenance_contract_id) FROM Assets AS h WHERE h.asset_id = 76 GROUP BY h.asset_id HAVING MAX(h.maintenance_contract_id) > 70",extra
SELECT T4.first_name FROM Maintenance_Engineers AS T4 JOIN Third_Party_Companies AS T3 ON T4.company_id = T3.company_id JOIN Assets AS T2 ON T3.company_id = T2.supplier_company_id JOIN Maintenance_Contracts AS T1 ON T2.maintenance_contract_id = T1.maintenance_contract_id WHERE T1.maintenance_contract_id != 77;,extra
"SELECT COUNT(z.part_id), z.other_part_details FROM Parts AS z WHERE  z.part_id = 73",medium
SELECT skill_id FROM Skills WHERE  skill_id != 90 ORDER BY skill_id ASC,medium
"SELECT SUM(Maintenance_Contracts.maintenance_contract_id), Fault_Log.fault_log_entry_id FROM Maintenance_Contracts JOIN Assets ON Maintenance_Contracts.maintenance_contract_id = Assets.maintenance_contract_id JOIN Third_Party_Companies ON Assets.supplier_company_id = Third_Party_Companies.company_id JOIN Fault_Log ON Assets.asset_id = Fault_Log.asset_id LIMIT 10",extra
"SELECT COUNT(s.part_fault_id), MIN(s.part_fault_id) FROM Part_Faults AS s WHERE  s.part_fault_id <= 13",medium
"SELECT COUNT(engineer_id), company_id FROM Maintenance_Engineers WHERE other_details NOT IN (SELECT other_details FROM Maintenance_Engineers AS m WHERE  m.company_id = 24 LIMIT 6)",extra
SELECT T2.part_fault_id FROM Skills AS T1 JOIN Skills_Required_To_Fix AS T2 ON T1.skill_id = T2.skill_id JOIN Part_Faults AS T3 ON T2.part_fault_id = T3.part_fault_id WHERE T1.skill_id >= 64 OR T2.skill_id IN (SELECT skill_id FROM Skills_Required_To_Fix AS t WHERE t.skill_id > 9) ORDER BY T2.part_fault_id ASC LIMIT 3,extra
SELECT x.skill_id FROM Skills AS x WHERE  x.skill_id < 81,easy
SELECT x.company_id FROM Third_Party_Companies AS x WHERE x.company_id >= 92;,easy
SELECT COUNT(DISTINCT T1.engineer_id) FROM Engineer_Skills AS T1 JOIN Skills AS T2 ON T1.skill_id = T2.skill_id WHERE T1.engineer_id != 14,medium
"
    SELECT 
      COUNT(DISTINCT T1.other_asset_details) AS count_other_asset_details,
      T1.asset_details
    FROM 
      Assets T1
    JOIN 
      Third_Party_Companies T2 ON T1.supplier_company_id = T2.company_id
    WHERE 
      T1.supplier_company_id BETWEEN 1 AND 10 OR T2.company_id = 85
    ORDER BY 
      T1.asset_details ASC;",extra
SELECT fault_short_name FROM Part_Faults WHERE part_id BETWEEN 1 AND 10 OR  part_id > 18 LIMIT 6,hard
SELECT l.fault_status FROM Fault_Log_Parts AS l WHERE part_fault_id NOT IN (SELECT part_fault_id FROM Part_Faults AS y LIMIT 4) ORDER BY l.fault_status ASC,extra
SELECT asset_details FROM Maintenance_Contracts JOIN Assets ON Maintenance_Contracts.maintenance_contract_id = Assets.maintenance_contract_id WHERE Assets.maintenance_contract_id BETWEEN 1 AND 10,medium
SELECT p.engineer_id FROM Maintenance_Engineers AS p WHERE first_name NOT IN (SELECT first_name FROM Maintenance_Engineers AS u WHERE  u.engineer_id > 30) ORDER BY p.engineer_id DESC,extra
SELECT staff_name FROM Staff WHERE  staff_id != 43,easy
SELECT COUNT(Part_Faults.part_id) FROM Skills_Required_To_Fix JOIN Part_Faults JOIN Parts ON Part_Faults.part_id = Parts.part_id AND Part_Faults.part_fault_id = Skills_Required_To_Fix.part_fault_id WHERE  Part_Faults.part_fault_id >= 3 LIMIT 3,extra
"SELECT MIN(TC.company_id), EV.fault_status FROM Third_Party_Companies AS TC JOIN Maintenance_Engineers AS ME ON TC.company_id = ME.company_id JOIN Engineer_Visits AS EV ON ME.engineer_id = EV.engineer_id WHERE EV.engineer_visit_id <= 57",hard
SELECT staff_id FROM Staff WHERE staff_id >= 76 AND staff_id = (SELECT MAX(staff_id) FROM Staff AS l WHERE l.staff_id < 25 LIMIT 7) LIMIT 10,extra
