query,question,iter,flag
SELECT Birth_Place FROM people WHERE  Weight = 40 ORDER BY Birth_Place ASC LIMIT 9,"What are the birth places of the 10th to 18th people who weigh 40, listed in alphabetical order?",2,True
"SELECT AVG(T1.People_ID), COUNT(DISTINCT T1.Height), T1.Birth_Date FROM people AS T1 GROUP BY T1.Birth_Date HAVING MIN(T1.People_ID) > 79 AND MAX(T1.Height) > 56 ORDER BY T1.Birth_Date ASC","What is the average people ID, count of distinct heights, and birth date of people, grouped by birth date, where the minimum people ID is greater than 79 and the maximum height is greater than 56, listed in ascending order of birth date?",3,True
"SELECT COUNT(Weight), MIN(Weight), Birth_Place FROM people WHERE People_ID < 15 OR Weight >= (SELECT AVG(Weight) FROM people AS o WHERE o.Weight = 10) GROUP BY Birth_Place HAVING COUNT(Weight) > 21","For each birth place, what is the count and minimum weight of people with an ID less than 15 or a weight greater than or equal to the average weight of 10, given that there are more than 21 such people?",6,False
SELECT Weight FROM people WHERE  Weight = 98,What is the weight of people who weigh 98?,2,True
"SELECT Name, Birth_Place FROM people JOIN body_builder ON body_builder.People_ID = people.People_ID LIMIT 3","What are the names and birthplaces of the 4th, 5th, and 6th body-builders?",6,False
"SELECT SUM(s.Height), MAX(s.Weight) FROM people AS s WHERE s.Weight < 77",What is the total height and maximum weight of people who weigh less than 77?,5,True
"SELECT SUM(body_builder.Total), COUNT(a.Body_Builder_ID), a.People_ID FROM body_builder AS a JOIN body_builder ON body_builder.Body_Builder_ID = a.Body_Builder_ID WHERE a.Clean_Jerk BETWEEN 1 AND 10 GROUP BY a.People_ID",What is the total and count of body builders grouped by people id for those with a clean jerk between 1 and 10?,6,False
SELECT Weight FROM people JOIN body_builder ON body_builder.People_ID = people.People_ID WHERE  people.People_ID != 65,What are the weights of all people except the one with id 65?,2,True
"SELECT w.People_ID, w.Weight FROM people AS w WHERE w.People_ID BETWEEN 1 AND 10 AND  w.People_ID <= 69 GROUP BY w.People_ID, w.Weight LIMIT 9",What are the IDs and weights of the 10th to 18th people with IDs between 1 and 69?,2,True
SELECT d.People_ID FROM body_builder AS d JOIN body_builder AS t ON d.Body_Builder_ID = t.Body_Builder_ID WHERE  d.Body_Builder_ID >= 21,What are the people ids of the body builders who have a body builder id of 21 or more?,2,True
"SELECT AVG(Height), Name FROM people WHERE Weight >= 44;",What is the average height and name of people who weigh 44 or more?,2,True
"SELECT Total, Birth_Place FROM people JOIN body_builder ON body_builder.People_ID = people.People_ID WHERE  Weight < 71 OR Clean_Jerk IN (SELECT Clean_Jerk FROM body_builder WHERE  Snatch = 63) GROUP BY Total HAVING MAX(body_builder.People_ID) >= 45 ORDER BY Total DESC","What are the total points and birth places of body builders with a weight below 71 or who have the same Clean Jerk as body builders who have a Snatch of 63, for those with the highest people id of at least 45, ordered by total points in descending order?",6,False
"SELECT COUNT(DISTINCT t1.Body_Builder_ID), t1.Snatch, t1.Clean_Jerk FROM body_builder AS t1 GROUP BY t1.Snatch, t1.Clean_Jerk HAVING AVG(t1.Clean_Jerk) < 89",What is the number of body builders with distinct body builder IDs for each combination of snatch and clean jerk values where the average clean jerk is less than 89?,6,False
"SELECT SUM(Height), COUNT(DISTINCT Total), Weight FROM people JOIN body_builder ON body_builder.People_ID = people.People_ID WHERE People_ID = (SELECT MIN(People_ID) FROM people WHERE Weight <= 80 ORDER BY People_ID ASC LIMIT 1) LIMIT 3","What is the total height, number of distinct totals and the weight of the three people with the smallest people IDs, among those with the smallest people ID who weigh less than or equal to 80?",6,False
"SELECT SUM(j.Weight), j.Birth_Date, j.Height FROM people AS j WHERE  j.People_ID > 63 GROUP BY j.Height, j.Birth_Date HAVING SUM(j.Weight) <= 85","What is the total weight, birth date, and height of people with a height and birth date where the total weight is less than or equal to 85, for people with an ID greater than 63?",6,False
"SELECT COUNT(z.People_ID), z.Height FROM people AS z WHERE z.Weight <= 35 GROUP BY z.Height HAVING MIN(z.Height) <= 80 ORDER BY z.Height DESC LIMIT 8","What are the counts of people and their respective heights, for people with a weight of 35 or less, where the minimum height is 80 or less, listed in descending order of height, starting from the 9th row?",2,True
"SELECT COUNT(DISTINCT body_builder.Total), body_builder.Clean_Jerk, people.Birth_Date FROM people JOIN body_builder ON body_builder.People_ID = people.People_ID WHERE body_builder.Total >= 99 GROUP BY body_builder.Clean_Jerk, people.Birth_Date;",What is the count of distinct totals for body builders grouped by clean jerk and birth date for those with a total of 99 or more?,6,False
"SELECT AVG(Height), AVG(Weight), Birth_Place FROM people GROUP BY Birth_Place;","What is the average height, average weight, and birth place of people grouped by their birth place?",3,True
SELECT Birth_Date FROM people JOIN body_builder ON body_builder.People_ID = people.People_ID WHERE body_builder.People_ID BETWEEN 1 AND 10 ORDER BY Birth_Date ASC LIMIT 5,"What are the birth dates of the 5th to 10th body builders with People_ID between 1 and 10, listed in ascending order?",2,True
"SELECT COUNT(body_builder.People_ID), body_builder.Snatch FROM body_builder WHERE body_builder.Total > 81 GROUP BY body_builder.Snatch HAVING MIN(body_builder.Snatch) <= 86 ORDER BY body_builder.Snatch ASC","What is the minimum snatch weight in each snatch category with a total greater than 81, for snatch weights less than or equal to 86, listed in ascending order of snatch weight?",6,False
"SELECT AVG(Height), Weight FROM people JOIN body_builder ON body_builder.People_ID = people.People_ID WHERE  Weight < 63 AND People_ID IN (SELECT People_ID FROM body_builder)",What is the average height and the weight of body builders with a weight below 63 kilograms who are registered in the system?,6,False
