query,question,iter,flag
"SELECT P.year, A.name, P.paper_id FROM Citation C JOIN Paper P ON C.paper_id = P.paper_id JOIN Author_list AL ON P.paper_id = AL.paper_id JOIN Author A ON AL.author_id = A.author_id JOIN Affiliation Af ON AL.affiliation_id = Af.affiliation_id WHERE Af.affiliation_id > 30 ORDER BY A.name ASC","What are the names of authors, along with the years and paper ids of their papers, affiliated with institutions with an affiliation id greater than 30, listed in ascending order by author name?",4,True
"SELECT COUNT(DISTINCT cited_paper_id), COUNT(DISTINCT Paper.paper_id), cited_paper_id, venue FROM Citation JOIN Author_list JOIN Paper ON Author_list.paper_id = Paper.paper_id AND Paper.paper_id = Citation.paper_id AND Citation.cited_paper_id = Paper.paper_id WHERE EXISTS (SELECT * FROM Paper AS i WHERE  i.year < 45 AND Citation.paper_id = i.paper_id) GROUP BY venue HAVING AVG(Author_list.affiliation_id) <= 81","For venues with an average affiliation id less than or equal to 81, what are the number of distinct cited papers, number of distinct papers, cited paper ids, and venues for papers that cite other papers published before 1945?",6,False
SELECT author_id FROM Author_list WHERE  affiliation_id < 70 ORDER BY author_id DESC LIMIT 9,"What are the last 9 author ids of authors affiliated with institutions having affiliation id less than 70, listed in descending order?",2,True
"SELECT COUNT(DISTINCT T1.year), T1.venue FROM Paper AS T1 JOIN Citation AS T2 ON T2.paper_id = T1.paper_id JOIN Author_list AS T3 ON T3.paper_id = T1.paper_id WHERE T3.affiliation_id BETWEEN 1 AND 10 OR EXISTS (SELECT * FROM Author AS T4 JOIN Author_list AS T5 ON T4.author_id = T5.author_id WHERE T5.author_id > 57 AND T5.paper_id = T1.paper_id) GROUP BY T1.venue HAVING MIN(T1.year) < 78 LIMIT 3","What are the publication venues with the number of distinct publication years for papers that have at least one author affiliated with an institution whose id is between 1 and 10 or an author id greater than 57, and the earliest publication year is before 1978, listed from the 4th to the 6th venue?",6,False
"SELECT COUNT(DISTINCT paper_id), paper_id, year FROM Paper WHERE year = 1953 GROUP BY year;","What is the number of unique papers published in 1953, along with their corresponding paper IDs and year of publication?",6,False
SELECT address FROM Affiliation WHERE EXISTS (SELECT * FROM Author_list WHERE Author_list.affiliation_id > 14 AND Affiliation.affiliation_id = Author_list.affiliation_id LIMIT 4) LIMIT 3,"What are the addresses of affiliations associated with authors, excluding the first three results, where the affiliation id is greater than 14 and only four such affiliations are considered?",6,False
"SELECT Author.author_id, AVG(Author_list.author_id) FROM Author_list JOIN Author JOIN Affiliation JOIN Paper ON Author_list.affiliation_id = Affiliation.affiliation_id AND Author_list.paper_id = Paper.paper_id AND Author.author_id = Author_list.author_id WHERE Paper.year BETWEEN 1 AND 10 AND Author.author_id < 32 GROUP BY Author.author_id;",What is the average author id of co-authors for each author with an author id less than 32 who published papers between year 1 and 10?,3,True
"SELECT author_id, paper_id FROM Author_list WHERE affiliation_id BETWEEN 1 AND 10 OR affiliation_id <= (SELECT MAX(affiliation_id) FROM Author_list WHERE affiliation_id > 6) ORDER BY author_id ASC;","What are the author ids and paper ids of authors affiliated with an institution with id between 1 and 10 or with the highest affiliation id greater than 6, listed in ascending order by author id?",2,True
SELECT w.cited_paper_id FROM Citation AS w LIMIT 2,What are the cited paper ids of the papers cited in the third and fourth citations?,6,False
SELECT Citation.paper_id FROM Citation JOIN Paper ON Citation.paper_id = Paper.paper_id WHERE Paper.year BETWEEN 1 AND 10,What are the paper IDs of papers that have at least one citation and were published between year 1 and year 10?,4,True
SELECT paper_id FROM Author_list WHERE  author_id = 34 ORDER BY paper_id ASC,"What are the paper IDs of the papers written by author 34, listed in ascending order?",2,True
"SELECT affiliation_id, name FROM Affiliation WHERE affiliation_id BETWEEN 1 AND 10 AND address != (SELECT MAX(address) FROM Affiliation WHERE affiliation_id BETWEEN 1 AND 10) GROUP BY name HAVING COUNT(*) <= 64 ORDER BY name ASC","What are the names of the unique affiliations with affiliation id between 1 and 10, excluding the one with the largest address, and having no more than 64 occurrences, ordered by name?",6,False
"SELECT r.affiliation_id, r.author_id FROM Author_list AS r WHERE  r.author_id < 100 GROUP BY r.affiliation_id, r.author_id HAVING MIN(r.affiliation_id) > 74","What are the affiliation and author ids for authors with ids less than 100, where the minimum affiliation id is greater than 74, grouped by affiliation and author ids?",2,True
"SELECT COUNT(DISTINCT affiliation_id), COUNT(DISTINCT name), address FROM Affiliation WHERE affiliation_id BETWEEN 1 AND 10 OR  affiliation_id != 43","What are the counts of distinct affiliation IDs and names, along with the addresses, for all affiliations with IDs between 1 and 10 or not equal to 43?",3,True
"SELECT COUNT(DISTINCT paper_id), title FROM Paper WHERE year > 1958 ORDER BY title DESC;","What are the distinct paper titles published after 1958, along with the number of each, listed in descending order by title?",6,False
SELECT year FROM Paper WHERE  year != 25 ORDER BY year ASC LIMIT 7,"What are the 7th to the last paper publication years excluding the year 25, in ascending order?",5,True
SELECT title FROM Paper JOIN Author_list ON Paper.paper_id = Author_list.paper_id JOIN Author ON Author.author_id = Author_list.author_id WHERE Author_list.author_id = 66 ORDER BY title DESC LIMIT 6,"What are the titles of papers written by the author with id 66, starting from the 7th result in descending order?",4,True
SELECT title FROM Paper WHERE year = 21,What are the titles of papers published in the year 21?,2,True
SELECT affiliation_id FROM Author_list WHERE author_id != 48 GROUP BY affiliation_id;,What are the affiliation ids of authors other than author 48?,6,False
SELECT year FROM Citation JOIN Paper ON Paper.paper_id = Citation.cited_paper_id WHERE year >= 34 ORDER BY year ASC,"What are the years of the papers that have been cited and were published in 34 or later, listed in ascending order?",4,True
SELECT title FROM Author_list JOIN Paper ON Author_list.paper_id = Paper.paper_id WHERE affiliation_id BETWEEN 1 AND 10 OR  author_id = 41 LIMIT 4,"What are the titles of papers written by authors from affiliations 1 to 10 or by author 41, starting from the fifth result?",2,True
SELECT q.venue FROM Paper AS q WHERE year IN (SELECT year FROM Paper AS z WHERE z.year BETWEEN 1 AND 10 AND  z.year < 67),What are the venues of papers published in years between 1 and 10 before 1967?,2,True
"SELECT COUNT(DISTINCT author_id), affiliation_id FROM Author_list WHERE affiliation_id BETWEEN 1 AND 10 AND  author_id > 2 GROUP BY affiliation_id ORDER BY affiliation_id ASC LIMIT 2","What are the affiliation ids and the number of unique authors for the top 2 affiliations with ids between 1 and 10, excluding authors with id less than or equal to 2, ordered by affiliation id?",4,True
"SELECT Author.author_id, Author_list.paper_id FROM Author_list JOIN Author JOIN Affiliation JOIN Paper ON Author_list.affiliation_id = Affiliation.affiliation_id AND Author_list.paper_id = Paper.paper_id AND Author.author_id = Author_list.author_id WHERE Author_list.author_id BETWEEN 1 AND 10",What are the author ids and corresponding paper ids for the top 10 authors based on their author id?,6,False
"SELECT name, address FROM Affiliation WHERE affiliation_id BETWEEN 3 AND 10 GROUP BY address;","What are the names and addresses of affiliations with id between 3 and 10, grouped by address?",2,True
"SELECT T3.affiliation_id, T2.name FROM Author_list AS T1 JOIN Author AS T2 JOIN Author_list AS T3 ON T1.author_id = T2.author_id AND T1.paper_id = T3.paper_id WHERE T3.affiliation_id <= 73 GROUP BY T3.affiliation_id, T2.name ORDER BY T3.affiliation_id ASC","What are the affiliation ids and corresponding author names for affiliations with an id less than or equal to 73, listed in ascending order of affiliation id and then author name?",6,True
