sql,hardness
"SELECT MAX(region.Region_ID), COUNT(DISTINCT Completed_Year), Address FROM building JOIN region ON building.Region_ID = region.Region_ID WHERE Population BETWEEN 1 AND 10 GROUP BY Address HAVING SUM(region.Region_ID) < 30 ORDER BY Address ASC",extra
"SELECT Completed_Year, Name, Number_of_Stories FROM building WHERE Building_ID BETWEEN 1 AND 10 AND Building_ID != (SELECT MAX(Building_ID) FROM building AS l WHERE l.Completed_Year BETWEEN 1 AND 10) GROUP BY Number_of_Stories HAVING AVG(Number_of_Stories) < 63 LIMIT 2",extra
"SELECT SUM(n.Building_ID), n.Address, n.Address, building.Completed_Year FROM building AS n JOIN building ON building.Building_ID = n.Building_ID WHERE Address IN (SELECT Address FROM building WHERE Building_ID BETWEEN 1 AND 10) GROUP BY building.Completed_Year",extra
"SELECT COUNT(DISTINCT Region_ID), COUNT(DISTINCT Capital), Name, Capital FROM region WHERE  Region_ID <= 47 GROUP BY Capital LIMIT 3",hard
"SELECT SUM(b.Area), COUNT(DISTINCT b.Population) FROM region AS b WHERE b.Area BETWEEN 1 AND 10 OR Capital < (SELECT AVG(Capital) FROM region AS q WHERE q.Population BETWEEN 1 AND 10)",extra
"SELECT Building_ID, Name, Name FROM building ORDER BY Name DESC",medium
SELECT Capital FROM region WHERE Area BETWEEN 1 AND 10 AND  Area = 13,medium
"SELECT Capital, Name, Area FROM region WHERE  Population != 70 OR EXISTS (SELECT * FROM building AS c WHERE c.Number_of_Stories BETWEEN 1 AND 10 AND region.Region_ID = c.Region_ID) GROUP BY Area HAVING COUNT(Region_ID) >= 45 ORDER BY Area ASC",extra
"SELECT Area, Region_ID FROM region WHERE Population BETWEEN 1 AND 10 ORDER BY Region_ID DESC",medium
"SELECT MAX(Region_ID), Completed_Year FROM building WHERE Building_ID BETWEEN 1 AND 10 AND Region_ID != (SELECT MAX(Region_ID) FROM region WHERE  Area = 52)",extra
"SELECT MAX(Region_ID), MAX(Area) FROM region WHERE Region_ID BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM building AS b WHERE  b.Building_ID < 19 AND region.Region_ID = b.Region_ID LIMIT 8)",extra
"SELECT Building_ID, building.Name FROM building JOIN region ON building.Region_ID = region.Region_ID WHERE  region.Region_ID = 29",medium
"SELECT building.Region_ID, region.Name, Address FROM building JOIN region ON building.Region_ID = region.Region_ID WHERE  region.Region_ID <= 86 ORDER BY building.Region_ID DESC",hard
"SELECT z.Region_ID, z.Number_of_Stories, building.Number_of_Stories FROM building AS z JOIN building ON building.Building_ID = z.Building_ID WHERE  building.Number_of_Stories < 0 GROUP BY z.Number_of_Stories HAVING MIN(building.Region_ID) >= 71 LIMIT 7",extra
"SELECT COUNT(l.Area), AVG(l.Region_ID), l.Name FROM region AS l WHERE l.Population BETWEEN 1 AND 10 AND  l.Population != 89 ORDER BY l.Name DESC",hard
"SELECT AVG(Area), Capital, Name FROM region WHERE Population BETWEEN 1 AND 10 OR  Population > 51",extra
"SELECT SUM(Area), Name, Capital FROM region WHERE EXISTS (SELECT * FROM building WHERE  Number_of_Stories != 26 AND region.Region_ID = Region_ID) LIMIT 9",extra
SELECT d.Completed_Year FROM building AS d WHERE  d.Region_ID < 28 ORDER BY d.Completed_Year ASC,medium
"SELECT z.Capital, z.Name FROM region AS z JOIN region ON region.Region_ID = z.Region_ID WHERE z.Region_ID BETWEEN 1 AND 10 GROUP BY z.Name HAVING COUNT(z.Area) > 70",hard
"SELECT AVG(u.Building_ID), u.Region_ID FROM building AS u ORDER BY u.Region_ID ASC LIMIT 6",medium
"SELECT SUM(Population), MIN(Area), region.Name FROM building JOIN region ON building.Region_ID = region.Region_ID WHERE Building_ID BETWEEN 1 AND 10 OR EXISTS (SELECT * FROM region WHERE building.Building_ID = Region_ID) ORDER BY region.Name ASC",extra
"SELECT n.Name, n.Region_ID FROM building AS n WHERE n.Number_of_Stories BETWEEN 1 AND 10 AND Completed_Year >= (SELECT MIN(Completed_Year) FROM building WHERE  Region_ID >= 21) GROUP BY n.Region_ID",extra
SELECT w.Building_ID FROM building AS w,easy
"SELECT Building_ID, Address, Address FROM building WHERE  Building_ID >= 11",medium
SELECT COUNT(DISTINCT e.Population) FROM region AS e WHERE e.Area BETWEEN 1 AND 10 AND  e.Area > 84 LIMIT 6,medium
